,index,ts,platform,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,shuffle
0,0,2017-06-17 07:45:29+00:00,"Android OS 5.1.1 API 22 (asus, ZB500KG)",0 days 00:02:50.640000,Goya No Machiawase,Hello Sleepwalkers,Masked Monkey Awakening,spotify:track:5s0AxcVJJD2YYPstMb61ro,playbtn,Unknown,True
1,1,2017-06-17 07:47:14+00:00,"Android OS 5.1.1 API 22 (asus, ZB500KG)",0 days 00:01:43.057000,夏の夜 - mindless ver.,The SALOVERS,いざ、サラバーズ!,spotify:track:42ozSV9iAbmCWiu0vj6w9G,trackdone,Unknown,True
2,2,2017-06-17 07:50:35+00:00,"Android OS 5.1.1 API 22 (asus, ZB500KG)",0 days 00:03:22.160000,CATCHY,SAKANAMON,cue,spotify:track:7EgCCgwAnYByrPNaLL8glY,fwdbtn,Unknown,True
3,3,2017-06-17 07:51:11+00:00,"Android OS 5.1.1 API 22 (asus, ZB500KG)",0 days 00:00:34.252000,忘却,unsuspected monogram,the mass,spotify:track:56Ubcj1uWQnUFa8csX7HYb,trackdone,Unknown,True
4,4,2017-06-17 07:53:01+00:00,"Android OS 5.1.1 API 22 (asus, ZB500KG)",0 days 00:00:19.598000,Odoru Rollschach (Album MIX),Owarikara,Saihate Songs,spotify:track:6oQoat3S16FAGoerAmeDRS,fwdbtn,Unknown,True
5,5,2017-06-17 14:13:43+00:00,"Android OS 5.1.1 API 22 (asus, ZB500KG)",0 days 00:04:03.372000,Odoru Rollschach (Album MIX),Owarikara,Saihate Songs,spotify:track:6oQoat3S16FAGoerAmeDRS,trackdone,Unknown,True
6,6,2017-06-17 14:13:56+00:00,"Android OS 5.1.1 API 22 (asus, ZB500KG)",0 days 00:00:01.822000,Odoru Rollschach (Album MIX),Owarikara,Saihate Songs,spotify:track:6oQoat3S16FAGoerAmeDRS,backbtn,Unknown,True
7,7,2017-06-17 14:13:57+00:00,"Android OS 5.1.1 API 22 (asus, ZB500KG)",0 days 00:00:01.030000,忘却,unsuspected monogram,the mass,spotify:track:56Ubcj1uWQnUFa8csX7HYb,backbtn,Unknown,True
8,8,2017-06-17 14:13:59+00:00,"Android OS 5.1.1 API 22 (asus, ZB500KG)",0 days 00:00:00.711000,CATCHY,SAKANAMON,cue,spotify:track:7EgCCgwAnYByrPNaLL8glY,backbtn,Unknown,True
9,9,2017-06-17 14:14:00+00:00,"Android OS 5.1.1 API 22 (asus, ZB500KG)",0 days 00:00:00.795000,夏の夜 - mindless ver.,The SALOVERS,いざ、サラバーズ!,spotify:track:42ozSV9iAbmCWiu0vj6w9G,backbtn,Unknown,True
